physician_id,npi,first_name,last_name,specialty,territory_id,city,state,years_in_practice,medical_school
PH-0060,5523124329,Eric,Malone,Internal Medicine,T-019,East Stephaniefort,NH,4,"Wolf, Cole and Glass Medical School"
PH-0061,9955271774,Laura,Vargas,Cardiology,T-017,Williamport,NH,28,Johnson-Wood Medical School
PH-0062,4119986798,Stephanie,Stevenson,Family Practice,T-006,South Reginashire,SD,35,Morris Group Medical School
PH-0063,8207151820,John,Kim,Rheumatology,T-037,Warrenburgh,MN,24,Hardin-Hughes Medical School
PH-0064,5905151864,Johnathan,York,Family Practice,T-031,West Christopher,TN,35,Rangel LLC Medical School
PH-0065,6291486528,Clarence,Santiago,General Practice,T-021,Andrewport,HI,32,Peterson Group Medical School
PH-0066,3322141888,Benjamin,Rogers,Geriatrics,T-003,New Nicholas,GA,18,Guerra PLC Medical School
PH-0067,2706537947,Jesus,Allen,Nephrology,T-031,Mckeeborough,MN,3,"Valentine, Joyce and Murray Medical School"
PH-0068,4688623924,Brett,Castillo,Nephrology,T-024,Angelaville,VT,32,"Rosales, Mitchell and Hines Medical School"
PH-0069,4782613750,Robert,Sanders,Pulmonology,T-023,Joeland,MN,2,Johnson Inc Medical School
PH-0070,5220472779,Adam,Miller,Internal Medicine,T-002,Jasonberg,OH,26,"Lynch, Henderson and Parsons Medical School"
PH-0071,3410369711,Mary,Porter,Rheumatology,T-033,Lake Zacharybury,VT,9,Carter Inc Medical School
PH-0072,9539621851,Stephanie,Stephens,Gastroenterology,T-039,South Morganton,SC,29,Zavala-King Medical School
PH-0073,0515319520,Michael,Morgan,Internal Medicine,T-026,Port Kimberly,NH,35,"Mendoza, White and Taylor Medical School"
PH-0074,7043030548,Raymond,Ochoa,Internal Medicine,T-024,Kingborough,LA,13,Atkins-Williams Medical School
PH-0075,5415667652,Tyler,Jimenez,Cardiology,T-007,Lauriechester,CO,36,Morrison-Short Medical School
PH-0076,8451154479,Jennifer,Jackson,Oncology,T-001,Bellton,VA,8,Mendez-Graham Medical School
PH-0077,0165820297,Austin,Jones,Gastroenterology,T-016,Michaelshire,AZ,14,"Hernandez, Cole and Watson Medical School"
PH-0078,7192856543,Susan,Johnson,Emergency Medicine,T-023,South April,PW,15,"Wilson, Hampton and Padilla Medical School"
PH-0079,3947312172,Rachel,Wallace,Family Practice,T-002,Port Evelynmouth,TN,32,Mckinney-Pierce Medical School
PH-0080,4422583132,Joel,Snyder,Nephrology,T-022,Angelastad,NH,25,"Anderson, Henson and Jones Medical School"
PH-0081,6786691251,Shannon,Frazier,Internal Medicine,T-022,Davidside,SC,22,"White, Burch and Reynolds Medical School"
PH-0082,0182422535,Stacey,Stone,Internal Medicine,T-006,Meghanview,ID,15,"Huber, Hill and Weber Medical School"
PH-0083,9818299229,Jennifer,Jacobs,Family Practice,T-037,Port Michelleland,AZ,33,"Wise, Baker and Clark Medical School"
PH-0084,9690784473,Linda,Cohen,Oncology,T-005,Shawnton,GA,39,Perry-Marshall Medical School
PH-0085,5925556258,Anna,Flores,Cardiology,T-032,Martinezmouth,IA,30,Davis LLC Medical School
PH-0086,6963259532,Tyrone,Robertson,Endocrinology,T-040,Kochfort,AK,16,Landry PLC Medical School
PH-0087,7339500479,Nicole,Pena,General Practice,T-030,Mitchelltown,PR,19,Jordan LLC Medical School
PH-0088,5650609835,Angela,Jones,Oncology,T-019,Duranview,GU,28,"Becker, Wilson and Hester Medical School"
PH-0089,6558523986,Vincent,Williams,Rheumatology,T-026,Lake Mason,NJ,37,"Bryant, Obrien and Robertson Medical School"
PH-0090,5952694958,Maria,Patel,Internal Medicine,T-023,Thomastown,MN,9,Nunez-Whitney Medical School
PH-0091,9409749930,Brandy,Jackson,Pulmonology,T-001,Hernandezbury,AZ,1,"Vaughan, Rodriguez and Smith Medical School"
PH-0092,5626368970,Janice,Stone,Family Practice,T-032,Whitneyfort,NC,25,Edwards-Thompson Medical School
PH-0093,8585497334,Angela,Walker,Pulmonology,T-001,Kellieborough,UT,16,"Burns, Castillo and Castro Medical School"
PH-0094,4419866524,Bobby,Moses,Endocrinology,T-005,West Sandraview,WA,22,Lewis-Clayton Medical School
PH-0095,4842199330,Elizabeth,Schmidt,Rheumatology,T-003,North Craig,MA,12,"Kennedy, Maldonado and Taylor Medical School"
PH-0096,8267734540,Rebecca,Davis,Nephrology,T-037,New Joanne,PR,22,Gentry and Sons Medical School
PH-0097,6206724004,Ashley,Rodriguez,Cardiology,T-014,Justinside,NC,28,Small-Anderson Medical School
PH-0098,8743152742,Alexis,Rogers,Cardiology,T-030,Ashleyborough,HI,5,"Chase, Prince and Wilcox Medical School"
PH-0099,8516122753,Adam,Reyes,Family Practice,T-026,Molinamouth,ME,26,"Sharp, Smith and Valdez Medical School"
PH-0100,3017426841,Danielle,Shepard,Family Practice,T-039,Christinabury,DC,36,Hernandez-Adkins Medical School
PH-0101,9568783391,Alicia,Rice,Internal Medicine,T-030,Christianshire,DE,37,Poole PLC Medical School
PH-0102,3982258713,Jennifer,Burns,Family Practice,T-010,Stokesmouth,DC,5,"Perry, Elliott and Hansen Medical School"
PH-0103,4064039106,Melvin,Brown,Emergency Medicine,T-031,North Valeriefort,AZ,10,Ortiz-Mack Medical School
PH-0104,6567661825,David,Haney,Neurology,T-032,Ricebury,MP,1,Avila LLC Medical School
PH-0105,7868633752,Joshua,Pineda,Endocrinology,T-004,North Lisachester,RI,16,Allen Inc Medical School
PH-0106,1907903067,Jimmy,Robinson,Cardiology,T-002,East Williamport,IN,28,"Johnston, Ray and Barton Medical School"
PH-0107,5342836440,Angela,Vargas,Nephrology,T-027,Lake Erika,OH,20,Williams-Cooper Medical School
PH-0108,6856624628,Thomas,Atkinson,Nephrology,T-035,Meredithberg,AS,33,Melendez-Hart Medical School
PH-0109,6882634351,Sandra,Boone,Family Practice,T-037,New Jennyborough,AR,12,Bennett-Jacobs Medical School
PH-0110,0139837354,Susan,Smith,Family Practice,T-033,Lake David,WV,40,Rocha-Dominguez Medical School
PH-0111,3638546785,Kyle,Ward,Emergency Medicine,T-029,Owensfort,WV,13,Rocha-Wood Medical School
PH-0112,6093204899,Jennifer,Phillips,Internal Medicine,T-002,West Jerry,OK,35,Porter Ltd Medical School
PH-0113,5477725228,Tracy,Stark,Family Practice,T-026,New Arthurland,GU,8,"Williams, Smith and Taylor Medical School"
PH-0114,3120387509,Dana,Peck,Family Practice,T-010,Hopkinstown,AL,26,"Arnold, Smith and Moreno Medical School"
PH-0115,4840862118,Eduardo,Lee,Family Practice,T-007,Lisaview,WY,4,Miller-Chung Medical School
PH-0116,7933410166,Nicholas,Alvarez,Gastroenterology,T-011,Lake Georgefort,PR,29,Newman-Rivera Medical School
PH-0117,1803397401,Gabrielle,Ramirez,Cardiology,T-025,East Sarahmouth,AK,21,Matthews Ltd Medical School
PH-0118,6142939685,Patrick,Singh,Hospitalist,T-036,New Juliestad,AR,10,Kim Inc Medical School
PH-0119,5999650477,Jeremy,Tran,Family Practice,T-024,Reynoldsshire,TN,35,Miller-Montgomery Medical School
PH-0120,3114262655,Daniel,Smith,General Practice,T-036,Seanview,CT,18,Miller Group Medical School
PH-0121,7888610158,Christopher,George,Internal Medicine,T-032,Michelletown,LA,24,Hughes-Miller Medical School
PH-0122,8398262244,Joseph,Thomas,Geriatrics,T-032,South Joshua,ME,37,Patton-Ward Medical School
PH-0123,3799371240,Stacy,Cook,Internal Medicine,T-013,Brockmouth,NV,23,Jordan-Colon Medical School
PH-0124,9245937526,Tanya,Carter,Rheumatology,T-030,Faulknerbury,MD,17,Ramirez-Hartman Medical School
PH-0125,5193982807,Sherry,Clark,Endocrinology,T-020,Marieland,GU,25,Chambers-Taylor Medical School
PH-0126,4342661797,Brandi,Ferguson,Family Practice,T-019,Stephensstad,UT,36,"Wheeler, Rocha and Rodriguez Medical School"
PH-0127,3529096561,Alex,Green,Cardiology,T-019,South Neil,NH,12,"Chapman, Mason and Cooper Medical School"
PH-0128,0714611254,Matthew,Mueller,Family Practice,T-028,Baileyville,NV,14,"Horton, Flores and Evans Medical School"
PH-0129,1051238282,Mark,Simmons,Pulmonology,T-019,Hallfurt,SC,16,Lopez Ltd Medical School
PH-0130,6609379660,Janet,Harris,Family Practice,T-035,New Cristianside,HI,12,Nguyen-Ellis Medical School
PH-0131,4785969691,Michael,Bruce,Family Practice,T-021,Port Emily,AS,36,Sellers-Lawrence Medical School
PH-0132,2513412528,Paul,Carlson,Hospitalist,T-016,Hendersonfort,SC,39,"Steele, Brewer and Cooke Medical School"
PH-0133,8274225790,Michelle,Crane,Cardiology,T-039,Taylorfurt,OH,14,"Delgado, Ortiz and Vasquez Medical School"
PH-0134,7721903404,Jeffrey,Roberts,Endocrinology,T-005,Cunninghamfort,OH,35,"Wilson, Wilson and Hampton Medical School"
PH-0135,5807836134,Nancy,Johnson,Emergency Medicine,T-011,Michaelland,NV,18,Rowe and Sons Medical School
PH-0136,3959629233,Linda,Hudson,Hospitalist,T-009,Candiceburgh,MD,10,"Carter, Armstrong and Farley Medical School"
PH-0137,8126042232,Jennifer,Poole,Oncology,T-017,Burnsshire,SC,38,Burton-Brooks Medical School
PH-0138,1168457759,Aaron,Schroeder,Cardiology,T-013,Lake Teresastad,PR,40,Flynn Group Medical School
PH-0139,3637454589,David,Phelps,Cardiology,T-027,Patriciaton,AZ,2,Sims Group Medical School
PH-0140,0127706324,Erik,Cantu,Cardiology,T-037,Clarencestad,KS,38,Watson Ltd Medical School
PH-0141,2064361103,Thomas,Anderson,General Practice,T-001,New Erin,AL,22,Dominguez Inc Medical School
PH-0142,6271361115,Michael,Evans,Oncology,T-007,Ayalaberg,SD,25,"Thomas, Moreno and Smith Medical School"
PH-0143,2753269731,Peggy,Taylor,Nephrology,T-036,New Jessicastad,NE,6,Moody-Wright Medical School
PH-0144,1389994043,April,Hicks,Gastroenterology,T-019,Phillipston,WY,39,Simpson Inc Medical School
PH-0145,3791805526,Michelle,Carroll,Family Practice,T-026,Amyburgh,WV,19,Best-Townsend Medical School
PH-0146,0910430068,Justin,Marquez,Cardiology,T-003,Hendersonfurt,CO,13,"Herrera, Jensen and Ramirez Medical School"
PH-0147,4183285691,Kyle,Kim,Family Practice,T-020,North John,NE,28,Chavez PLC Medical School
PH-0148,0421020275,Alexandra,Logan,Hematology,T-039,Garyberg,WA,1,Quinn-Wilson Medical School
PH-0149,0564814917,Spencer,Ward,Pulmonology,T-028,Villarrealburgh,MN,25,Scott Inc Medical School
PH-0150,9138000307,Michael,Mora,Geriatrics,T-038,Port Austin,AS,6,"Yang, Barnes and Morris Medical School"
PH-0151,6541951802,Jeffrey,Black,Oncology,T-032,South Caseymouth,VI,21,Ayala-Collins Medical School
PH-0152,1870534949,John,Richardson,Cardiology,T-021,Cuevasborough,VA,11,"Hodges, Sanchez and Smith Medical School"
PH-0153,6038505064,Dalton,Moreno,Emergency Medicine,T-036,South Travis,AR,35,Dawson Inc Medical School
PH-0154,0386571918,Dennis,Wilkins,Gastroenterology,T-018,New Ashleychester,TN,14,Young LLC Medical School
PH-0155,5655743132,Kimberly,Richards,Internal Medicine,T-001,North Frank,NH,3,Russell-Herrera Medical School
PH-0156,3747411249,Billy,Huff,Emergency Medicine,T-011,Eddiebury,MI,12,Palmer-Byrd Medical School
PH-0157,4206788317,Curtis,Leon,Hospitalist,T-016,North Bryanbury,DC,8,Colon LLC Medical School
PH-0158,1994101372,Christopher,Boone,Family Practice,T-024,Davidmouth,AR,28,Glass Group Medical School
PH-0159,6706625324,Joshua,Stephenson,Family Practice,T-028,New Christinebury,SD,36,Porter-Andrade Medical School
PH-0160,7014626383,Crystal,Pham,Family Practice,T-028,South Kimberlystad,NJ,28,"Harrington, Cooper and Cunningham Medical School"
PH-0161,5642059304,Brian,Frey,Family Practice,T-036,Katiebury,GA,27,Wright and Sons Medical School
PH-0162,4803965223,Brittany,Drake,Gastroenterology,T-017,Robintown,VT,9,"Bell, Bradley and Thomas Medical School"
PH-0163,3784270103,Carolyn,Smith,Internal Medicine,T-020,Smithborough,AS,13,Peterson and Sons Medical School
PH-0164,5002921851,Nathaniel,Mcmahon,Pulmonology,T-029,Willismouth,ME,13,Taylor-Moore Medical School
PH-0165,6752895392,Nicholas,Gross,Emergency Medicine,T-006,Davidtown,UT,18,"Myers, Gamble and Sanford Medical School"
PH-0166,0295939172,Mark,Miller,Family Practice,T-005,Toniburgh,SC,25,Underwood Ltd Medical School
PH-0167,5704331541,Jennifer,Williams,Family Practice,T-030,Oconnorburgh,FM,5,Snyder-Gray Medical School
PH-0168,8617932710,Kenneth,Flores,Cardiology,T-033,North Matthewfurt,GA,1,"Jones, Mcmahon and Spence Medical School"
PH-0169,5997062962,Brian,Rivera,Family Practice,T-011,South Heidi,VA,21,"Fernandez, Guerrero and Evans Medical School"
PH-0170,1069872050,Ronald,Phillips,Rheumatology,T-025,Gonzaleztown,IL,22,Little Inc Medical School
PH-0171,7146774186,Jackson,Mcclure,Oncology,T-013,Jacobton,KS,33,Marshall-Perez Medical School
PH-0172,4902115869,Jeremy,Brown,Family Practice,T-035,Cardenaschester,ND,1,"Camacho, Wells and Keith Medical School"
PH-0173,7416089899,Dylan,Avery,Cardiology,T-006,Thompsonburgh,IL,28,Martinez Group Medical School
PH-0174,1632945116,Angela,Arnold,Oncology,T-031,Apriltown,WY,5,"Dean, Mills and Barnes Medical School"
PH-0175,6229991191,Kristi,Dillon,General Practice,T-023,Natalieview,MS,37,"Washington, Lynch and Johnson Medical School"
PH-0176,4629960653,Brandon,Alvarez,Gastroenterology,T-010,Pennytown,MA,10,Collins-Cameron Medical School
PH-0177,1324754691,Jacob,Lewis,Family Practice,T-021,Figueroahaven,VI,14,Nicholson-Robertson Medical School
PH-0178,2148628902,James,Whitaker,Internal Medicine,T-001,East Antonioton,PW,13,Bush-Hill Medical School
PH-0179,7861035797,Gregory,Harrell,Internal Medicine,T-001,Maxview,WA,40,"Davis, Johnson and Williams Medical School"
PH-0180,9333346800,Thomas,Anderson,Neurology,T-028,New Lauren,IN,31,Franklin-Hahn Medical School
PH-0181,4665743748,Madison,Sanders,Cardiology,T-026,North Williamstad,OH,34,"Wheeler, Campbell and Cohen Medical School"
PH-0182,7154544432,Zachary,Allen,Family Practice,T-003,Port Meredithfurt,TN,12,Becker-Griffith Medical School
PH-0183,7446660993,Matthew,Reeves,Oncology,T-005,Knoxstad,NY,30,Bruce-Pittman Medical School
PH-0184,8241724825,Destiny,Walker,Geriatrics,T-017,Lake Monica,MT,23,Watson-Richards Medical School
PH-0185,7170999173,Vincent,Dillon,Rheumatology,T-021,Morenochester,AR,14,Taylor and Sons Medical School
PH-0186,5697252175,Crystal,Thompson,Gastroenterology,T-039,North Shannonborough,WV,38,Johnston and Sons Medical School
PH-0187,7129666676,Adam,Ferguson,Neurology,T-034,Stephaniemouth,WV,38,"Lee, Rhodes and Sims Medical School"
PH-0188,3354216894,Gary,Colon,Neurology,T-018,Stacymouth,VA,30,"Carlson, Morgan and Barron Medical School"
PH-0189,2575326033,Jessica,Anderson,Nephrology,T-034,New Williamville,MN,38,"Santos, Johnson and Mcdowell Medical School"
PH-0190,4890901001,Robert,James,Family Practice,T-015,Thomasberg,IL,30,"Jennings, Smith and Fisher Medical School"
PH-0191,1849926189,David,Wilson,Neurology,T-017,South Jamesborough,WI,5,Decker-Dudley Medical School
PH-0192,5642087375,Jimmy,Smith,Oncology,T-010,North Maryfort,FL,17,Chan Inc Medical School
PH-0193,1437447012,Morgan,Phelps,Family Practice,T-020,Lauriemouth,NE,24,"Wilson, York and Zamora Medical School"
PH-0194,0225579415,Lisa,White,Cardiology,T-006,Rossmouth,KY,2,Vaughn-Mendoza Medical School
PH-0195,6212021697,Leah,Gregory,Family Practice,T-011,New Noah,MI,23,"Johnson, Cohen and Roberson Medical School"
PH-0196,2771670145,Alexander,Oneill,Internal Medicine,T-031,Lake Morgan,NC,11,"Watts, Montgomery and Reynolds Medical School"
PH-0197,3756289002,William,Harrison,Internal Medicine,T-008,Boothland,WV,4,Flores-Rivera Medical School
PH-0198,4083866317,Sean,Berry,Internal Medicine,T-025,Port Vernonmouth,DE,3,Mcgee-Smith Medical School
PH-0199,6608801994,Pamela,Hart,Geriatrics,T-027,Clementsstad,GU,29,Velasquez Group Medical School
PH-0200,5899757113,Aaron,Kelly,General Practice,T-019,Amystad,UT,21,Williams and Sons Medical School
PH-0201,7261493316,Jason,Summers,Internal Medicine,T-028,Lake Matthew,WV,22,Williams-Schultz Medical School
PH-0202,9177982708,Jill,Tran,Cardiology,T-001,Robersonfort,NY,5,Holt and Sons Medical School
PH-0203,2169958669,Ruth,Farmer,Family Practice,T-026,Raymondmouth,LA,34,Ballard-Taylor Medical School
PH-0204,9848583339,Jennifer,Parks,Internal Medicine,T-026,Lake Debra,HI,27,"Daniels, Walsh and Page Medical School"
PH-0205,5879968460,Alexandra,Johnson,Cardiology,T-022,North Ellen,ID,30,Christensen-Martin Medical School
PH-0206,4420438057,Curtis,Parrish,Internal Medicine,T-017,Lake Deborah,MS,26,Dixon Ltd Medical School
PH-0207,4066658004,James,Melton,Geriatrics,T-008,Greerstad,WV,35,"Payne, Morrison and Parsons Medical School"
PH-0208,3472122816,Billy,Ramirez,Internal Medicine,T-015,Davidshire,PR,22,Smith-Owens Medical School
PH-0209,2025909479,Andrea,Jones,Internal Medicine,T-028,Aliciaburgh,NC,23,Hartman and Sons Medical School
PH-0210,6886153355,Michael,Robinson,Endocrinology,T-002,Barajastown,DE,26,"Reed, Allen and May Medical School"
PH-0211,9305616484,Angel,Black,Cardiology,T-007,Williehaven,NV,3,Williams-Villanueva Medical School
PH-0212,3581128801,Jason,Soto,Emergency Medicine,T-018,Port Gina,MP,38,Harris Ltd Medical School
PH-0213,6120750110,Gregory,King,Endocrinology,T-015,New Lorraineview,MT,25,Hayes-Sullivan Medical School
PH-0214,5061809190,Jaclyn,Jones,Rheumatology,T-028,West Kristinport,PA,10,Campbell Group Medical School
PH-0215,6607283268,Kenneth,Walters,Nephrology,T-017,Ericastad,AL,39,"Baxter, Thomas and Williams Medical School"
PH-0216,9968814353,Robert,Brewer,Cardiology,T-025,East Jack,RI,17,Lee-White Medical School
PH-0217,9087814141,James,Carpenter,Family Practice,T-025,Michaelbury,CT,4,Harvey-Mccullough Medical School
PH-0218,5775949299,Michael,Stewart,Family Practice,T-018,Jacksonmouth,IA,36,Joseph Ltd Medical School
PH-0219,6452577754,Tony,Rodriguez,Endocrinology,T-034,Port Juanberg,MH,8,"Gonzalez, Gross and Sims Medical School"
PH-0220,1080996930,Andrea,Stephens,Nephrology,T-019,Valdezberg,MN,37,Walker-Barton Medical School
PH-0221,4278816580,Elaine,Charles,Family Practice,T-026,Port Willie,NV,34,White PLC Medical School
PH-0222,2750373145,Jim,Barnett,Internal Medicine,T-006,Paulmouth,FM,37,Williams Ltd Medical School
PH-0223,5184498926,Desiree,Diaz,Hospitalist,T-022,New Johnbury,NC,21,Gomez-Parrish Medical School
PH-0224,7790827231,Xavier,Campbell,Internal Medicine,T-004,East Eric,PA,30,"Montoya, Guerrero and Perry Medical School"
PH-0225,5177739260,John,Anderson,Internal Medicine,T-030,East Crystal,AZ,31,"Thomas, Jackson and Nielsen Medical School"
PH-0226,8699041379,Victoria,Dillon,Cardiology,T-009,East Maria,PA,3,Norton and Sons Medical School
PH-0227,9842579913,Nicholas,Anderson,Endocrinology,T-040,East Alexandrahaven,TX,37,Serrano-Jacobs Medical School
PH-0228,2799088117,Donna,Winters,General Practice,T-031,Port Erikachester,NC,6,Wood-Williams Medical School
PH-0229,8637659916,Dennis,Woods,Family Practice,T-028,Port Christopher,PA,11,"Ortiz, Lopez and Fletcher Medical School"
PH-0230,0981806356,Michael,Moore,Geriatrics,T-006,Joseside,NE,30,"Diaz, Hill and Becker Medical School"
PH-0231,3688725887,Jon,Parker,Internal Medicine,T-002,Kimfurt,WA,15,Wyatt Ltd Medical School
PH-0232,1372138658,Christina,Cohen,Endocrinology,T-026,East Paultown,AS,5,Morrow Group Medical School
PH-0233,9611435190,Jenny,Arias,Internal Medicine,T-004,Mendezhaven,LA,19,"Stuart, Brown and Ayala Medical School"
PH-0234,2770384309,William,Hale,Internal Medicine,T-020,Lake Barry,IA,12,"Smith, Moore and Shea Medical School"
PH-0235,6566938011,Andrea,Barber,Cardiology,T-026,Michaelview,IN,14,"Mccarty, Gibson and Powell Medical School"
PH-0236,0426818184,Matthew,Wilson,Internal Medicine,T-037,Nancyshire,KS,11,"Ramos, Bennett and Webb Medical School"
PH-0237,3577907141,Patrick,Kramer,Hospitalist,T-013,Lake Jacqueline,AS,3,Gutierrez-Gomez Medical School
PH-0238,8043416518,Sarah,Woods,Cardiology,T-010,Jefferyshire,KY,5,Valentine Ltd Medical School
PH-0239,3733343333,Mary,Kelly,Cardiology,T-002,North Samanthafort,RI,13,Duran PLC Medical School
